date,open,high,low,close,volume,dividends,stock_splits,symbol
2021-02-24,32.828296472206944,33.04812825933591,32.52053252928895,32.75502014160156,7093700,0.0,0.0,ENB.TO
2021-02-25,32.74769118217039,32.90157595059075,32.22742196148533,32.35932159423828,7856600,0.0,0.0,ENB.TO
2021-02-26,32.1761265463449,32.24207635980246,31.494646072387695,31.494646072387695,10357300,0.0,0.0,ENB.TO
2021-03-01,31.94896170246017,32.425266165387434,31.714474125567108,32.21276092529297,5473500,0.0,0.0,ENB.TO
2021-03-02,32.31535279267668,32.542513883169505,32.190782475360216,32.425270080566406,11385500,0.0,0.0,ENB.TO
2021-03-03,32.40329823445683,32.77701210274084,31.992943394802086,32.57916259765625,5901700,0.0,0.0,ENB.TO
2021-03-04,32.57915411917069,32.960197200690644,32.454583793932414,32.674415588378906,11775900,0.0,0.0,ENB.TO
2021-03-05,32.94554325574925,33.11408106762315,32.60846763200146,32.850284576416016,11125900,0.0,0.0,ENB.TO
2021-03-08,32.97485550006803,33.36322512590196,32.813644200900825,33.28261947631836,14050700,0.0,0.0,ENB.TO
2021-03-09,33.275294324108614,33.509781971425966,32.9455451965332,32.9455451965332,6565500,0.0,0.0,ENB.TO
2021-03-10,33.03348218401204,33.39254019300893,32.99684121568248,33.1946907043457,3892000,0.0,0.0,ENB.TO
2021-03-11,33.42184709356444,33.61236724332505,33.245979974674384,33.348567962646484,5399800,0.0,0.0,ENB.TO
2021-03-12,33.348568019286525,33.53909096468375,33.121409701337626,33.289947509765625,2975600,0.0,0.0,ENB.TO
2021-03-15,33.3485668721517,33.52443398529092,33.22399654663416,33.42917251586914,5024100,0.0,0.0,ENB.TO
2021-03-16,33.399863841045736,33.429172697300565,33.01149144605508,33.2313232421875,7724700,0.0,0.0,ENB.TO
2021-03-17,33.17270164799216,33.44382742783262,33.02614619026578,33.311927795410156,5343100,0.0,0.0,ENB.TO
2021-03-18,33.267961198273696,33.29727005188023,32.79898320150409,32.864933013916016,4320900,0.0,0.0,ENB.TO
2021-03-19,32.857609468293674,33.34856705314566,32.69639817998386,33.2313232421875,16680800,0.0,0.0,ENB.TO
2021-03-22,33.19468669854254,33.42917433192486,33.16537504554148,33.39253616333008,3225700,0.0,0.0,ENB.TO
2021-03-23,33.30460399963998,33.54641814861602,33.09942522394564,33.39253616333008,4580700,0.0,0.0,ENB.TO
2021-03-24,33.4438324057307,34.06669249494833,33.421850062159315,33.92746353149414,6447800,0.0,0.0,ENB.TO
2021-03-25,33.92012532938206,33.97141931025254,33.42183854780104,33.91279602050781,4057200,0.0,0.0,ENB.TO
2021-03-26,34.000734863722016,34.24254897343632,33.87616175635015,34.12530517578125,4181100,0.0,0.0,ENB.TO
2021-03-29,34.2059144540176,34.41109042293884,34.000738485096356,34.323158264160156,4958100,0.0,0.0,ENB.TO
2021-03-30,34.09599398040816,34.1839289263019,33.868835691797656,33.88349151611328,3082600,0.0,0.0,ENB.TO
2021-03-31,33.87617018753425,33.90548184307133,33.3852125361981,33.54642105102539,6210900,0.0,0.0,ENB.TO
2021-04-01,33.84685564432694,33.883496608278904,33.47314185170947,33.87616729736328,2866300,0.0,0.0,ENB.TO
2021-04-05,33.91281000084843,33.94945096970005,33.60504598875173,33.92013931274414,2116700,0.0,0.0,ENB.TO
2021-04-06,33.96409205616502,34.00073301212837,33.72960447362448,33.89081573486328,2388900,0.0,0.0,ENB.TO
2021-04-07,33.96410012412349,34.03004994708601,33.88349726966987,33.978755950927734,2812900,0.0,0.0,ENB.TO
2021-04-08,33.883495571088474,34.176603706540384,33.67099028604956,34.16927719116211,4067900,0.0,0.0,ENB.TO
2021-04-09,34.12530538462358,34.15461703304489,33.77357398950582,33.86883544921875,2938300,0.0,0.0,ENB.TO
2021-04-12,33.98608033620832,33.98608033620832,33.64900195919152,33.788230895996094,6141700,0.0,0.0,ENB.TO
2021-04-13,33.780906736710996,33.92746221054515,33.68564805473498,33.722286224365234,3576000,0.0,0.0,ENB.TO
2021-04-14,33.89814546358321,34.161944717786724,33.88349243418323,34.000736236572266,4068500,0.0,0.0,ENB.TO
2021-04-15,34.07401463247303,34.27186408513139,34.000738299775676,34.249881744384766,4663200,0.0,0.0,ENB.TO
2021-04-16,34.33781499799239,34.35247082406193,33.971427732192744,34.16927719116211,7888000,0.0,0.0,ENB.TO
2021-04-19,34.22057764894568,34.4037713164504,34.19859250803191,34.308509826660156,19283200,0.0,0.0,ENB.TO
2021-04-20,34.20591219192489,34.29384434488848,33.93478642302139,34.000736236572266,5385500,0.0,0.0,ENB.TO
2021-04-21,33.92013524528285,34.18393453562621,33.86884124941754,34.176605224609375,3192800,0.0,0.0,ENB.TO
2021-04-22,34.18393631951785,34.205918663089236,33.890825360437404,33.92746353149414,5392800,0.0,0.0,ENB.TO
2021-04-23,33.92745541627009,34.00806105050254,33.72227947117848,33.89814376831055,8375200,0.0,0.0,ENB.TO
2021-04-26,33.81754382329007,33.87616432891294,33.70762653169203,33.78090286254883,9165300,0.0,0.0,ENB.TO
2021-04-27,33.85418787302678,34.29385152521267,33.751599873870965,34.242557525634766,5242000,0.0,0.0,ENB.TO
2021-04-28,34.330480369878,34.71152340272771,34.26453056043646,34.43307113647461,6476200,0.0,0.0,ENB.TO
2021-04-29,34.6235931036468,34.75549272957142,34.484366963087574,34.66756057739258,5054900,0.0,0.0,ENB.TO
2021-04-30,34.652908749544636,34.85075821125077,34.37445364099751,34.740840911865234,4785500,0.0,0.0,ENB.TO
2021-05-03,34.85076468468773,35.02662904199527,34.711535706896235,34.88007354736328,5792500,0.0,0.0,ENB.TO
2021-05-04,35.02661631247386,35.17317175384406,34.91670182793063,35.15851593017578,7563700,0.0,0.0,ENB.TO
2021-05-05,35.28309521284928,36.001213926483985,35.26111007584033,35.90595245361328,23759600,0.0,0.0,ENB.TO
2021-05-06,35.90595620645439,35.90595620645439,35.36370176033742,35.4809455871582,31481300,0.0,0.0,ENB.TO
2021-05-07,34.44040001570618,35.34171227642436,34.40376185134777,35.2391242980957,14516900,0.0,0.0,ENB.TO
2021-05-10,35.31972441058496,35.803355372258046,35.30506858807217,35.48826217651367,12241800,0.0,0.0,ENB.TO
2021-05-11,35.29041847819966,35.52490608573751,35.11455137488989,35.312400817871094,24535800,0.0,0.0,ENB.TO
2021-05-12,34.968001412603975,35.781381586909696,34.968001412603975,35.393009185791016,12808000,0.0,0.0,ENB.TO
2021-05-13,35.11338366524627,35.35199636477303,34.67344096715235,34.822574615478516,20509200,0.835,0.0,ENB.TO
2021-05-14,35.00899530970713,35.36691440341837,34.949340705177875,35.195411682128906,16520800,0.0,0.0,ENB.TO
2021-05-17,35.076099445043226,35.26251578625478,34.792745809945124,34.912052154541016,17069300,0.0,0.0,ENB.TO
2021-05-18,34.91205774673843,35.04627776146906,34.58396595766804,35.008995056152344,7949800,0.0,0.0,ENB.TO
2021-05-19,34.69581502565301,34.77038328282063,34.158937796486946,34.330440521240234,26781600,0.0,0.0,ENB.TO
2021-05-20,34.36772225188173,34.792751349962046,34.121651276946764,34.71072769165039,12066300,0.0,0.0,ENB.TO
2021-05-21,34.8896978224413,34.91952513229516,34.60634406780724,34.70328140258789,3086100,0.0,0.0,ENB.TO
2021-05-25,34.897143952849,34.93442665801308,34.56159391739613,34.576507568359375,13487000,0.0,0.0,ENB.TO
2021-05-26,34.76291869141178,34.94933503358181,34.68835329233882,34.882225036621094,8591300,0.0,0.0,ENB.TO
2021-05-27,34.82257628184526,34.949338040071396,34.65852897638754,34.78529357910156,6474700,0.0,0.0,ENB.TO
2021-05-28,34.91205137518843,34.9717059683985,34.60632869620573,34.65106964111328,4110200,0.0,0.0,ENB.TO
2021-05-31,34.80766569441066,34.80766569441066,34.2111338645619,34.22604751586914,3168700,0.0,0.0,ENB.TO
2021-06-01,34.643612038520615,34.964248371764405,34.613784741361286,34.77783203125,6891600,0.0,0.0,ENB.TO
2021-06-02,34.9940816276573,35.00153703097282,34.81512065871574,34.89714431762695,6109800,0.0,0.0,ENB.TO
2021-06-03,34.92697147350891,34.99408148101976,34.80766510954384,34.844947814941406,4819700,0.0,0.0,ENB.TO
2021-06-04,34.97170751818179,35.180492914694305,34.919511169053656,35.17303466796875,4579000,0.0,0.0,ENB.TO
2021-06-07,35.2476008041522,35.620433472470516,35.2476008041522,35.59806442260742,7964800,0.0,0.0,ENB.TO
2021-06-08,35.75465459904468,35.93361269262245,35.642803657192864,35.79939270019531,8150000,0.0,0.0,ENB.TO
2021-06-09,35.86651044217415,35.970906004542094,35.642811354647876,35.93362045288086,3383600,0.0,0.0,ENB.TO
2021-06-10,36.05291066435912,36.14984793515424,35.70990536091415,35.836669921875,6358900,0.0,0.0,ENB.TO
2021-06-11,35.955991981932215,36.030557395509184,35.88142372386706,35.9932746887207,7452500,0.0,0.0,ENB.TO
2021-06-14,36.01563931164368,36.88061108733472,35.9858120120883,36.85824203491211,17041900,0.0,0.0,ENB.TO
2021-06-15,37.074487777814824,37.186335890714474,36.85078586303951,37.059574127197266,3826200,0.0,0.0,ENB.TO
2021-06-16,37.21616148677134,37.283271489231474,37.03720053204837,37.17887878417969,7480600,0.0,0.0,ENB.TO
2021-06-17,37.39512240959091,37.424946864946065,36.94026604269228,37.260902404785156,8870200,0.0,0.0,ENB.TO
2021-06-18,36.95517933622317,37.08194109260175,36.455582024378046,36.85824203491211,10229200,0.0,0.0,ENB.TO
2021-06-21,36.910438205144494,37.03719996089892,36.61962914713111,36.88806915283203,2376300,0.0,0.0,ENB.TO
2021-06-22,36.925359398841394,36.925359398841394,36.41830658325522,36.75385665893555,5822800,0.0,0.0,ENB.TO
2021-06-23,36.82841397705947,36.83587222403867,36.574887625034556,36.597259521484375,3206800,0.0,0.0,ENB.TO
2021-06-24,36.67182914626847,36.88807282175623,36.537609130068354,36.83587646484375,2791500,0.0,0.0,ENB.TO
2021-06-25,36.8582441816146,36.97009513921779,36.664369567700824,36.89552688598633,1993800,0.0,0.0,ENB.TO
2021-06-28,36.89551879698068,36.91043244435729,36.589796136978634,36.65690612792969,5395500,0.0,0.0,ENB.TO
2021-06-29,36.77622186009343,36.88807282175623,36.70165644864363,36.83587646484375,2264700,0.0,0.0,ENB.TO
2021-06-30,36.88060921538222,37.08939745718454,36.72402016739626,37.00737380981445,5776200,0.0,0.0,ENB.TO
2021-07-02,37.28326396897978,37.49950758267681,37.149043991132466,37.39511489868164,4150100,0.0,0.0,ENB.TO
2021-07-05,37.402582219913334,37.46969223022461,37.24599314401643,37.46969223022461,896900,0.0,0.0,ENB.TO
2021-07-06,37.469684805489266,37.469684805489266,37.029742123844315,37.35783386230469,4621000,0.0,0.0,ENB.TO
2021-07-07,37.35038024764402,37.58899294966848,37.25344294854415,37.45477294921875,5756200,0.0,0.0,ENB.TO
2021-07-08,37.2087062341176,37.357837045085695,36.97009352318318,37.231075286865234,4996300,0.0,0.0,ENB.TO
2021-07-09,37.30564461859759,37.40258193151937,37.096859185678234,37.365299224853516,3746200,0.0,0.0,ENB.TO
2021-07-12,37.28326649158672,37.47713822576848,37.25343919571646,37.29072189331055,3398900,0.0,0.0,ENB.TO
2021-07-13,37.313096937606666,37.350379638348336,37.15650788779901,37.24598693847656,2833100,0.0,0.0,ENB.TO
2021-07-14,37.111766200022686,37.21615889781235,36.81349891106279,36.90298080444336,7036700,0.0,0.0,ENB.TO
2021-07-15,36.87315004890275,36.97008733539766,36.72401641840767,36.84332275390625,8613000,0.0,0.0,ENB.TO
2021-07-16,36.947719113479046,37.06702546083335,36.72402006775069,36.79113006591797,3768000,0.0,0.0,ENB.TO
2021-07-19,36.35864167163994,36.433209914270186,35.560779964665734,35.96343994140625,14851100,0.0,0.0,ENB.TO
2021-07-20,35.948533733881604,36.09766740552373,35.53096286666948,35.9932746887207,4750500,0.0,0.0,ENB.TO
2021-07-21,36.1871412374644,36.35118853699565,36.052921236845705,36.21696853637695,3665200,0.0,0.0,ENB.TO
2021-07-22,36.21696835553326,36.39592930362717,36.02309660254531,36.246795654296875,5492800,0.0,0.0,ENB.TO
2021-07-23,36.373548420953114,36.425744758650055,36.202045762165,36.38846206665039,5017300,0.0,0.0,ENB.TO
2021-07-26,36.53014976144386,36.731476919402255,36.12748975655145,36.403385162353516,7465800,0.0,0.0,ENB.TO
2021-07-27,36.41829908374128,36.63454273737022,36.284079081108686,36.58980178833008,1846300,0.0,0.0,ENB.TO
2021-07-28,36.57488609065548,36.873153378579424,36.47794879540705,36.768760681152344,1748400,0.0,0.0,ENB.TO
2021-07-29,36.87315368652344,36.92535003567289,36.64945464095611,36.87315368652344,4614200,0.0,0.0,ENB.TO
2021-07-30,36.82841063272847,36.895520627008196,36.29898892479258,36.67182159423828,5533600,0.0,0.0,ENB.TO
