date,open,high,low,close,volume,dividends,stock_splits,symbol
2021-05-12,147.13522584696486,148.23521296468041,146.62015970312655,146.83840942382812,6758300,0.0,0.0,JNJ
2021-05-13,145.764606792171,149.02088849898217,145.764606792171,148.3748779296875,8018600,0.0,0.0,JNJ
2021-05-14,149.70181070527352,149.81530479696036,148.55818455979258,148.60183715820312,5797700,0.0,0.0,JNJ
2021-05-17,148.75899985124406,150.05977294323486,148.68043315115946,148.75027465820312,5722600,0.0,0.0,JNJ
2021-05-18,148.3923475372346,149.60581546104768,147.9995007010617,148.8026580810547,5846000,0.0,0.0,JNJ
2021-05-19,148.33125181416742,148.54950154728664,146.69873475221914,148.4796600341797,5533800,0.0,0.0,JNJ
2021-05-20,148.35747036948212,149.79791356761558,148.13922059274012,149.34396362304688,4853200,0.0,0.0,JNJ
2021-05-21,149.5709301934304,150.80186206212787,149.16934476558347,149.2479248046875,6501800,0.0,0.0,JNJ
2021-05-24,150.12631075701708,150.52162190300896,149.13367658787195,149.81886291503906,5195100,1.06,0.0,JNJ
2021-05-25,149.9243314004105,150.2405723999403,149.10738330396907,149.4060516357422,7444700,0.0,0.0,JNJ
2021-05-26,149.33573143088392,149.40600867768606,147.82480413467383,148.51878356933594,5726400,0.0,0.0,JNJ
2021-05-27,148.68567252885214,149.48506110793534,147.91264964504808,148.29037475585938,8114700,0.0,0.0,JNJ
2021-05-28,148.91409445371053,150.22296975399786,148.60663314740637,148.67691040039062,6400800,0.0,0.0,JNJ
2021-06-01,149.4675022115579,149.51142716905005,145.27732666630425,145.40908813476562,10448400,0.0,0.0,JNJ
2021-06-02,145.2070545000006,146.4632252233717,145.04014769809467,145.99765014648438,6806000,0.0,0.0,JNJ
2021-06-03,145.725294227099,146.83213050962812,145.56718050274281,145.8570556640625,5808800,0.0,0.0,JNJ
2021-06-04,146.70917063729706,147.2011113515465,145.7077433545993,145.79559326171875,6510300,0.0,0.0,JNJ
2021-06-07,145.8219479597895,146.10305694400023,144.61848195567094,144.80294799804688,5362800,0.0,0.0,JNJ
2021-06-08,145.1894821656575,145.52329577022826,142.36967940330803,143.5292205810547,7746800,0.0,0.0,JNJ
2021-06-09,144.05627207624397,145.62868351111368,143.76638347347753,145.46177673339844,5552600,0.0,0.0,JNJ
2021-06-10,145.82193775111864,147.20988310446026,145.77801279990902,146.77066040039062,6463100,0.0,0.0,JNJ
2021-06-11,146.76187599995993,146.7706556283111,144.2583013065586,144.90835571289062,7389900,0.0,0.0,JNJ
2021-06-14,144.50431125162487,145.34762498405232,143.9772384933556,145.2685546875,4931300,0.0,0.0,JNJ
2021-06-15,145.14555504701488,145.69898003498702,144.4076639990623,144.49551391601562,5062900,0.0,0.0,JNJ
2021-06-16,144.76782876679127,145.60234935529456,143.6082742113014,144.4427947998047,6988500,0.0,0.0,JNJ
2021-06-17,144.23196674650538,145.55841460727018,143.62583721544925,145.1367645263672,5874700,0.0,0.0,JNJ
2021-06-18,143.42382126146924,144.23198962975997,142.12371208272563,142.29061889648438,12993000,0.0,0.0,JNJ
2021-06-21,142.98456984899533,144.29344499275155,142.52777446123454,143.92449951171875,6592300,0.0,0.0,JNJ
2021-06-22,143.81034776384988,144.1002230418948,143.43260915242917,143.7312774658203,5627800,0.0,0.0,JNJ
2021-06-23,143.7927375548271,143.7927375548271,142.72981266478098,142.86158752441406,4493400,0.0,0.0,JNJ
2021-06-24,143.42377544625222,144.2407231844009,143.0109050611624,143.51161193847656,4549200,0.0,0.0,JNJ
2021-06-25,143.13389755136674,144.75023389220627,143.08997259997162,144.24952697753906,10963800,0.0,0.0,JNJ
