date,open,high,low,close,volume,dividends,stock_splits,symbol,daily_return,log_return,sma_20,sma_50,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,bb_bandwidth,bb_percent,true_range,atr_14,obv,volatility_20,volatility_20_annual,momentum_10,roc_10,momentum_20,roc_20,stoch_k,stoch_d,rsi_signal,ma_crossover,macd_crossover,bb_signal
2021-02-03,59.99904056761052,60.20984973949373,59.755798739599385,60.161197662353516,3301600,0.0,0.0,TD.TO,0.0040598765095694045,0.004051657449003604,60.142541122436526,,,59.73746615695853,59.471471930393356,40.250825151711936,0.26599422656517646,0.42023690758874277,-0.1542426810235663,60.142541122436526,61.55863145899669,58.72645078587636,0.04709113749208998,0.5065873410174905,0.45405099989434206,0.7268217047758695,19523600,0.008651206578301818,0.13733364688099586,-0.5269966125488281,-0.8683675941348112,0.5108146667480469,0.8563476730496067,51.18748772510002,35.79583913430721,neutral,none,none,neutral
2021-02-04,60.29091012470647,60.77738744828465,60.29091012470647,60.54225540161133,4498100,0.0,0.0,TD.TO,0.006333945367850591,0.006313970239100648,60.167270278930665,,,59.861279886905116,59.550789224557654,44.97981065919096,0.3104906623474619,0.39828765854048664,-0.08779699619302472,60.167270278930665,61.593621680875614,58.74091887698572,0.04741286733908643,0.6314490672387391,0.6161897859311338,0.740141471810327,24021700,0.008639199765865942,0.13714304464253232,0.14594268798828125,0.2416417185603592,0.4945831298828125,0.8236507947297689,63.58796864275942,52.682243969138945,neutral,none,none,neutral
2021-02-05,60.736855631198125,60.74495915394707,60.32334709287856,60.485504150390625,5478700,0.0,0.0,TD.TO,-0.0009373825082041876,-0.0009378221259356501,60.187134170532225,,,59.95731438897981,59.62002736721195,44.56226023277233,0.33728702176786385,0.3860875311859621,-0.04880050941809827,60.187134170532225,61.619901488780705,58.754366852283745,0.04761041833920601,0.6041236689510581,0.42161206106851523,0.7551988220934399,18543000,0.008644468400353753,0.1372266816221542,0.8270187377929688,1.386255001402259,0.39727783203125,0.6611575284755311,61.74115453740545,58.83887030175496,neutral,none,none,neutral
2021-02-08,60.607121303315516,60.947654814652495,60.566578948487134,60.91522216796875,4026600,0.0,0.0,TD.TO,0.007104479389138829,0.007079361471760433,60.22483539581299,,,60.10468481651657,59.715967722823564,50.98284294984843,0.38871709369300333,0.3866134436873704,0.002103650005632951,60.22483539581299,61.69395021529806,58.75572057632792,0.04878767404940748,0.7349669212368793,0.4621506642618698,0.721608252548141,22569600,0.008774284802754504,0.13928745312325105,1.3134765625,2.203755190652479,0.7540245056152344,1.2533402507162394,98.62539243682676,74.65150520566387,neutral,none,bullish,neutral
2021-02-09,60.89903236065623,60.98822062686653,60.485523688762775,60.858489990234375,4411400,0.0,0.0,TD.TO,-0.0009313300635749311,-0.0009317640208778337,60.23537635803223,,,60.22065484324238,59.80059900189103,51.387293655529035,0.4200558413513491,0.39330192322016616,0.02675391813118294,60.23537635803223,61.72020655211938,58.750546163945074,0.0493009352265516,0.7098265628903202,0.5026969381037532,0.7152376822332295,18158200,0.00860258386334186,0.1365617852098789,1.0378303527832031,1.7349028898595797,0.21081924438476562,0.3476130934495725,94.59450534024184,84.98701743815802,neutral,none,none,neutral
2021-02-10,60.85847211622275,60.85847211622275,60.444969751671344,60.817935943603516,2291900,0.0,0.0,TD.TO,-0.0006663662972473672,-0.0006665884179497356,60.251593017578124,,,60.312544243297936,59.87595729386973,53.58135308954322,0.43658694942820375,0.4019589284617737,0.03462802096643003,60.251593017578124,61.755262812583524,58.74792322257272,0.049913030334873036,0.6883202442140424,0.4135202385630308,0.7135016007257902,15866300,0.008581244027743426,0.13622302582180415,1.6540260314941406,2.7956672132576577,0.32433319091796875,0.5361446106027623,92.90473730868372,95.37487836191742,neutral,none,none,neutral
2021-02-11,60.76116442975183,61.0125096661663,60.58278799646654,60.93954086303711,2132700,0.0,0.0,TD.TO,0.001999491063727543,0.0019974947421124707,60.23375492095947,,,60.40900526171935,59.95474126195621,62.1538909200405,0.4542639997631426,0.4124199427220475,0.04184405704109506,60.23375492095947,61.69305167396356,58.77445816795538,0.04845445066205891,0.7418239952308253,0.42972166969975945,0.6868608207146022,17999000,0.00803777266371795,0.12759568537842536,1.0621223449707031,1.7738278824599663,-0.3567619323730469,-0.5820284684442067,96.99006637649109,94.82976967513888,neutral,none,none,neutral
2021-02-12,60.963887709524364,61.41793249169233,60.963887709524364,61.150367736816406,2796800,0.0,0.0,TD.TO,0.0034596071908898907,0.003453636516760878,60.23375492095947,,,60.5230610271189,60.04330618601993,64.27503463602287,0.47975484109896627,0.4258869223974313,0.053867918701534956,60.23375492095947,61.69305167396356,58.77445816795538,0.04845445066205891,0.8140597736443973,0.4783916286552241,0.671804732403084,20795800,0.00806276268994604,0.12799238974636443,2.3999671936035156,4.08502269161255,0.0,0.0,90.5443759524309,93.47972654586857,neutral,none,none,neutral
2021-02-16,61.328746696653205,61.50712320704888,61.215235496564404,61.36117935180664,2717700,0.0,0.0,TD.TO,0.003447430044861477,0.0034415012799984064,60.24429550170898,,,60.65200230784009,60.14092642052265,64.22159083705802,0.511075887317439,0.44292471538143285,0.06815117193600617,60.24429550170898,61.734193628183014,58.75439737523495,0.04946188229329586,0.8748188652135757,0.35675547023247134,0.66080108285186,23513500,0.008098836479731562,0.12856504340608507,2.3756446838378906,4.027503857022685,0.21081161499023438,0.3447430044861477,95.00000449569251,94.17814894153817,neutral,none,none,neutral
2021-02-17,60.80983429028294,61.57198619287461,60.80172458032663,61.22334289550781,3472300,0.0,0.0,TD.TO,-0.0022463136751097457,-0.0022488404222935775,60.265781784057616,,,60.739900859788975,60.2211054186697,71.02656538212274,0.5187954411192734,0.458098860529001,0.06069658059027244,60.265781784057616,61.800748215421834,58.7308153526934,0.05093989942300125,0.8119159780579547,0.7702616125479835,0.6497973084364465,20041200,0.00799717052067055,0.12695114633922722,1.3054046630859375,2.1786541753527455,0.42972564697265625,0.7068598093379785,88.31523590834975,91.28653878549106,overbought,none,none,neutral
